Month,userColor,MaricopaCounty,ApacheJunction,Avondale,Buckeye,Carefree,CaveCreek,Chandler,ElMirage,FountainHills,GilaBend,Gilbert,Glendale,Goodyear,Guadalupe,LitchfieldPark,Mesa,ParadiseValley,Peoria,Phoenix,QueenCreek,Scottsdale,Surprise,Tempe,Tolleson,Wickenburg,Youngtown,filler
1/1/2019,#BABABA,6153,8,125,44,0,3,352,31,8,0,145,527,42,1,11,882,2,113,2708,10,170,61,474,43,6,8,1
2/1/2019,#BABABA,5212,1,134,31,0,5,326,23,4,0,93,438,47,4,8,690,0,92,2309,13,160,71,424,40,0,2,1
3/1/2019,#BABABA,4323,3,94,31,0,4,234,16,4,0,89,370,48,1,8,605,0,101,1776,14,173,59,366,23,2,5,1
4/1/2019,#BABABA,4973,1,95,20,0,1,310,26,7,0,117,462,43,4,7,684,3,96,2102,8,135,71,420,32,2,1,1
5/1/2019,#BABABA,5619,3,129,38,1,5,290,26,6,0,127,523,45,5,11,761,4,114,2383,12,148,70,501,39,1,4,1
6/1/2019,#BABABA,5669,2,137,34,0,2,332,23,6,1,110,521,58,1,7,791,0,113,2404,14,177,61,438,48,5,4,1
7/1/2019,#BABABA,6071,4,128,37,0,2,345,20,8,0,126,589,62,2,13,836,0,139,2588,10,186,76,454,35,1,3,1
8/1/2019,#BABABA,6242,4,138,43,0,7,366,33,2,0,131,541,74,0,12,854,1,132,2622,19,151,71,436,41,3,6,1
9/1/2019,#BABABA,6097,2,153,38,0,3,349,24,9,0,123,515,64,0,8,854,2,136,2525,16,161,82,421,32,4,7,1
10/1/2019,#BABABA,6226,2,157,45,0,2,352,29,6,1,106,547,75,3,9,859,2,139,2696,8,139,73,435,33,4,5,1
11/1/2019,#BABABA,5804,5,128,31,1,1,368,28,4,1,119,541,50,2,7,804,1,123,2341,22,164,92,447,35,1,5,1
12/1/2019,#BABABA,5928,1,135,30,0,3,336,24,7,0,102,570,81,4,16,770,1,155,2404,18,138,85,450,44,0,6,1
1/1/2020,#BABABA,5863,1,138,32,0,4,326,26,5,0,109,541,60,3,12,834,1,110,2373,16,137,86,423,47,3,7,1
2/1/2020,#BABABA,5620,1,143,39,0,1,333,32,2,0,111,508,75,0,18,717,0,144,2214,20,139,83,411,35,1,2,1
3/1/2020,#2baab1,3870,3,94,18,0,6,213,15,2,0,70,336,45,1,6,539,1,89,1565,15,134,53,276,20,0,2,1
4/1/2020,#2baab1,1770,1,23,6,0,2,53,8,2,0,28,190,10,1,3,192,1,32,823,3,49,14,92,12,0,3,1
5/1/2020,#2baab1,1475,0,16,14,0,1,40,8,1,0,24,108,11,0,2,155,1,32,704,4,61,23,128,5,1,1,1
6/1/2020,#2baab1,1612,1,19,6,0,4,42,9,1,0,17,172,9,0,3,175,0,33,762,3,54,29,91,12,1,2,1
7/1/2020,#2baab1,1768,3,20,11,0,1,60,6,2,0,30,130,12,1,2,189,0,32,854,1,62,30,124,9,1,3,1
8/1/2020,#2baab1,2171,0,33,15,0,2,67,9,2,2,38,237,13,1,3,217,0,37,1034,9,69,30,113,11,2,2,1
9/1/2020,#2baab1,2863,1,65,16,0,1,115,2,1,0,62,251,23,0,3,433,0,59,1281,3,81,23,197,12,2,1,1
10/1/2020,#2baab1,3382,4,42,23,0,1,106,12,1,0,51,333,25,0,3,428,1,47,1485,6,93,23,291,16,0,6,1
11/1/2020,#2baab1,3174,2,54,8,0,1,133,7,3,0,45,333,28,0,4,436,0,39,1473,6,92,17,236,12,0,4,1
12/1/2020,#2baab1,4215,2,94,12,0,3,177,8,5,0,85,336,37,2,14,596,1,59,1842,5,121,42,374,14,1,1,1
1/1/2021,#2baab1,3239,2,73,11,0,3,151,8,3,0,60,260,35,0,4,466,0,62,1428,1,113,29,266,12,1,2,1
2/1/2021,#2baab1,3148,4,79,17,0,2,145,11,1,0,76,264,44,1,6,440,0,35,1481,7,87,24,301,13,1,3,1
3/1/2021,#2baab1,3247,1,71,19,0,1,155,9,4,0,64,308,41,1,6,405,1,71,1592,2,120,30,230,15,0,3,1
4/1/2021,#2baab1,2477,4,84,9,0,2,150,14,2,0,39,230,31,0,3,324,0,38,1142,3,70,17,207,10,1,3,1
5/1/2021,#2baab1,2615,3,60,10,0,2,129,10,2,0,59,222,31,2,8,313,1,49,1285,2,76,21,257,14,1,2,1
6/1/2021,#2baab1,2985,0,53,9,0,2,144,6,3,0,57,265,30,2,6,414,0,52,1496,8,74,21,250,17,5,3,1
7/1/2021,#2baab1,3623,3,87,22,0,1,159,9,3,0,67,301,29,1,2,504,0,60,1819,11,61,33,333,18,5,7,1
8/1/2021,#2baab1,2989,2,56,11,0,3,125,4,7,1,57,272,24,3,2,443,0,37,1572,4,68,18,189,16,6,3,1
9/1/2021,#2baab1,4257,3,75,16,0,0,208,19,3,3,58,334,50,3,3,642,0,66,2268,2,102,38,258,18,1,4,1
10/1/2021,#2baab1,4669,4,92,24,0,5,226,13,3,0,70,426,29,0,4,629,0,72,2427,11,146,31,335,18,0,1,1
