Month,userColor,MaricopaCounty,ApacheJunction,Avondale,Buckeye,Carefree,CaveCreek,Chandler,ElMirage,FountainHills,GilaBend,Gilbert,Glendale,Goodyear,Guadalupe,LitchfieldPark,Mesa,ParadiseValley,Peoria,Phoenix,QueenCreek,Scottsdale,Surprise,Tempe,Tolleson,Wickenburg,Youngtown,filler
1/1/2019,#BABABA,5824,2,128,41,0,1,349,30,8,0,145,444,42,1,0,848,0,107,2805,10,158,61,474,15,2,8,1
2/1/2019,#BABABA,4946,0,133,23,0,0,322,23,4,0,93,361,46,4,0,648,0,92,2415,13,146,70,427,10,0,2,1
3/1/2019,#BABABA,4055,0,94,27,0,0,232,16,4,0,87,329,48,1,0,554,0,95,1838,12,154,58,367,8,2,5,1
4/1/2019,#BABABA,4678,1,96,18,0,0,308,27,7,0,118,406,43,4,0,649,1,88,2173,8,124,69,418,15,1,1,1
5/1/2019,#BABABA,5282,1,127,32,1,3,290,26,6,0,127,469,45,5,0,723,0,110,2462,12,141,69,499,17,0,4,1
6/1/2019,#BABABA,5331,1,136,32,0,1,331,24,6,1,108,457,58,1,0,760,0,104,2513,14,167,58,439,16,4,4,1
7/1/2019,#BABABA,5696,1,126,33,0,0,342,20,8,0,125,517,62,2,2,798,0,135,2666,9,163,74,453,10,1,3,1
8/1/2019,#BABABA,5725,1,139,40,0,2,366,33,2,0,132,459,72,0,1,809,1,129,2723,19,140,71,436,14,3,6,1
9/1/2019,#BABABA,5561,0,153,32,0,0,348,24,9,0,125,453,64,0,0,817,2,134,2605,17,144,81,421,10,4,7,1
10/1/2019,#BABABA,5764,0,158,40,0,0,348,29,6,1,107,480,74,3,0,826,1,140,2776,8,131,73,436,12,2,5,1
11/1/2019,#BABABA,5355,2,126,30,1,1,369,28,4,1,121,487,51,2,0,771,0,121,2418,21,142,92,447,14,1,5,1
12/1/2019,#BABABA,5413,1,135,29,1,2,333,24,7,0,102,479,80,4,0,736,0,162,2515,18,118,86,451,12,0,6,1
1/1/2020,#BABABA,5328,0,135,30,0,0,323,26,5,0,109,467,59,3,0,802,0,109,2472,16,119,82,423,27,3,7,1
2/1/2020,#BABABA,5060,0,144,36,0,0,332,32,2,0,111,426,74,0,0,679,0,143,2298,20,130,83,411,21,1,2,1
3/1/2020,#2baab1,3523,2,94,18,0,0,213,15,2,0,69,289,45,1,0,512,1,86,1627,14,120,54,276,9,0,2,1
4/1/2020,#2baab1,1564,1,23,6,0,1,52,8,2,0,28,188,11,1,0,184,1,28,843,3,38,14,93,9,0,3,1
5/1/2020,#2baab1,1357,0,16,13,0,0,40,8,1,0,24,104,11,0,0,150,1,31,724,4,54,22,129,2,1,1,1
6/1/2020,#2baab1,1451,0,20,5,0,0,42,9,1,0,18,161,9,0,0,166,0,29,780,1,50,28,92,3,0,2,1
7/1/2020,#2baab1,1591,2,21,11,0,1,60,6,2,0,30,128,11,1,0,183,0,28,870,0,55,30,125,2,1,3,1
8/1/2020,#2baab1,1961,0,32,14,0,0,66,9,2,2,38,217,12,1,0,209,0,36,1071,9,60,29,112,3,2,2,1
9/1/2020,#2baab1,2648,0,62,11,0,0,115,2,1,0,62,233,23,0,0,426,0,59,1311,2,75,22,197,4,1,1,1
10/1/2020,#2baab1,3019,0,45,19,0,1,105,12,1,0,52,310,25,0,0,413,0,45,1514,6,88,23,290,4,0,6,1
11/1/2020,#2baab1,2948,1,53,8,0,0,133,7,3,0,48,293,28,0,0,403,0,41,1511,6,88,17,237,7,0,4,1
12/1/2020,#2baab1,3851,0,94,12,0,0,178,8,5,0,85,280,37,2,0,581,1,66,1889,4,110,42,375,9,1,1,1
1/1/2021,#2baab1,3016,0,73,9,0,2,151,8,3,0,60,226,35,0,0,455,0,63,1486,1,100,28,266,6,1,2,1
2/1/2021,#2baab1,3053,1,80,16,0,1,145,11,1,0,75,240,44,1,1,417,0,34,1505,6,84,25,301,4,1,3,1
3/1/2021,#2baab1,3168,1,69,19,0,0,155,9,4,0,64,285,40,1,1,380,0,69,1624,1,115,30,231,4,0,3,1
4/1/2021,#2baab1,2404,0,84,9,1,0,150,14,2,0,39,200,31,0,0,301,0,40,1180,3,66,17,208,4,1,3,1
5/1/2021,#2baab1,2575,0,60,9,0,1,128,10,2,0,59,194,31,2,0,289,1,51,1317,2,73,21,259,3,1,2,1
6/1/2021,#2baab1,2927,0,52,8,0,0,144,6,3,0,56,249,30,2,1,389,0,54,1521,8,68,21,250,8,5,3,1
7/1/2021,#2baab1,3552,1,90,20,0,0,159,9,3,0,68,279,29,1,0,461,0,62,1841,11,57,32,336,7,5,7,1
8/1/2021,#2baab1,2943,1,58,10,0,1,124,5,7,1,57,255,23,3,0,416,0,38,1600,4,66,18,189,2,5,3,1
9/1/2021,#2baab1,4192,1,73,15,0,0,209,19,3,3,57,298,50,3,0,621,0,63,2321,1,97,38,259,4,1,4,1
10/1/2021,#2baab1,4595,0,94,23,0,2,224,13,3,0,70,380,29,0,0,603,0,72,2492,11,132,30,337,5,0,1,1
11/1/2021,#2baab1,3716,2,69,8,0,0,188,6,0,0,61,267,59,0,0,501,1,63,1977,5,105,34,309,7,1,3,1
12/1/2021,#2baab1,4305,1,91,33,0,0,256,22,6,2,71,369,54,4,0,524,0,71,2204,10,120,42,345,10,5,1,1
1/1/2022,#2baab1,5073,0,106,17,1,0,310,10,3,0,92,453,51,4,0,670,0,86,2622,9,145,38,333,11,2,1,1
2/1/2022,#2baab1,4457,1,114,34,0,0,268,13,0,0,97,440,61,3,0,572,0,79,2180,10,125,48,301,19,1,3,1
3/1/2022,#2baab1,4632,0,122,24,0,2,260,16,3,0,92,417,62,0,0,537,1,94,2343,0,134,51,383,7,0,6,1
4/1/2022,#2baab1,4158,2,95,25,0,1,220,21,2,0,73,431,46,1,0,492,0,61,2098,10,102,54,328,7,0,2,1
5/1/2022,#2baab1,4773,0,88,25,1,4,293,11,3,0,113,446,57,1,0,577,1,92,2447,13,123,57,318,5,5,4,1
6/1/2022,#2baab1,5726,0,126,37,0,1,291,30,7,0,128,631,59,0,0,601,1,113,2880,12,176,55,460,15,0,0,1
7/1/2022,#2baab1,6309,1,141,36,0,3,351,32,3,1,135,610,65,1,0,785,1,109,3194,18,159,75,450,24,6,2,1
8/1/2022,#2baab1,6501,1,136,33,0,0,353,29,6,2,139,623,85,1,0,757,0,156,3268,14,188,83,493,15,3,7,1
9/1/2022,#2baab1,5499,1,95,37,0,0,275,29,1,2,154,471,74,3,1,769,0,124,2724,13,132,41,461,11,6,3,1
10/1/2022,#2baab1,4299,1,51,30,0,2,186,19,2,0,95,472,41,3,1,584,0,104,2143,12,107,40,299,5,2,1,1
11/1/2022,#2baab1,4050,0,71,33,0,0,188,21,3,3,97,393,49,1,0,506,0,88,2050,6,108,53,284,12,1,1,1
12/1/2022,#2baab1,4293,2,114,24,0,1,208,13,2,0,89,446,68,1,0,511,0,104,2126,10,131,49,318,5,2,4,1
