Geography,overall_2020 q2,overall_2021 q2,overall_change_,studios_2020 q2,studios_2021 q2,studios_change,1bed_2020 q2,1bed_2021 q2,1bed_change,2bed_2020 q2,2bed_2021 q2,2bed_change,3bed_2020 q2,3bed_2021 q2,3bed_change,4bed_2020 q2,4bed_2021 q2,4bed_change,filler
Apache Junction,742,742,0,,,,483,508,0.051759834,1104,1050,-0.048913043,742,742,0,895,895,0,1
Avondale,1189,1540,0.295206056,781,858,0.098591549,1095,1373,0.253881279,1245,1691,0.358232932,1379,1568,0.137055838,665,903,0.357894737,1
Buckeye,862,992,0.150812065,,,,825,945,0.145454545,782,907,0.159846547,862,992,0.150812065,1823,1800,-0.012616566,1
Carefree,730,1032,0.41369863,750,770,0.026666667,730,1032,0.41369863,1120,1180,0.053571429,,,,,,,1
Chandler,1318,1587,0.204097117,952,1165,0.223739496,1195,1480,0.238493724,1378,1727,0.253265602,1681,1995,0.186793575,1362,1860,0.365638767,1
El Mirage,795,795,0,,,,795,795,0,945,945,0,601,692,0.151414309,1170,1170,0,1
Fountain Hills,1416,1677,0.184322034,,,,1248,1526,0.22275641,1416,1677,0.184322034,1963,2500,0.273560876,,,,1
Gilbert,1286,1529,0.188958009,1204,1279,0.062292359,1168,1466,0.255136986,1340,1714,0.279104478,1656,2059,0.243357488,2353,3112,0.322566936,1
Glendale,977,1138,0.164790174,750,775,0.033333333,870,1043,0.198850575,1049,1298,0.237368923,1200,1376,0.146666667,1245,1246,0.000803213,1
Goodyear,1294,1550,0.197836167,939,964,0.026624068,1157,1445,0.24891962,1405,1759,0.251957295,1644,1860,0.131386861,,,,1
Guadalupe,742,778,0.04851752,,,,613,633,0.032626427,742,778,0.04851752,839,895,0.066746126,1577,1656,0.050095117,1
Mesa,1050,1235,0.176190476,840,919,0.094047619,949,1107,0.166491043,1183,1350,0.141166526,1451,1690,0.16471399,1303,1770,0.358403684,1
Peoria,1166,1449,0.24271012,1050,1224,0.165714286,1098,1396,0.27140255,1198,1530,0.277128548,1484,1830,0.233153639,1220,1348,0.104918033,1
Phoenix,1062,1255,0.18173258,795,884,0.111949686,957,1142,0.193312435,1162,1400,0.204819277,1475,1783,0.208813559,1269,1458,0.14893617,1
Queen Creek,1493,1831,0.226389819,,,,1264,1494,0.181962025,1493,1843,0.234427328,1724,2284,0.324825986,,,,1
Scottsdale,1392,1681,0.207614943,1316,1418,0.077507599,1238,1509,0.218901454,1426,1789,0.254558205,1731,2167,0.251877527,4554,5219,0.146025472,1
Surprise,1278,1563,0.223004695,,,,1031,1518,0.472356935,1333,1745,0.309077269,1391,1633,0.173975557,1400,1700,0.214285714,1
Tempe,1230,1443,0.173170732,1044,1130,0.082375479,1094,1358,0.241316271,1297,1515,0.168080185,1695,1997,0.178171091,2217,2217,0,1
Tolleson,970,1053,0.08556701,,,,760,1028,0.352631579,970,1053,0.08556701,1119,1297,0.159070599,,,,1
Youngtown,595,603,0.013445378,650,800,0.230769231,595,599,0.006722689,668,668,0,595,603,0.013445378,,,,1
