Month,ApacheJunction,Avondale,Buckeye,Carefree,CasaGrande,CaveCreek,Chandler,Coolidge,ElMirage,Eloy,Florence,FountainHills,GilaBend,Gilbert,Glendale,Goodyear,Guadalupe,Kearny,LitchfieldPark,Mammoth,Maricopa,Mesa,Paradise Valley,Peoria,Phoenix,QueenCreek,Scottsdale,Superior,Surprise,Tempe,Tolleson,Wickenburg,Youngtown,z_Unincorporated,Avondale_SF,Buckeye_SF,Carefree_SF,CaveCreek_SF,Chandler_SF,ElMirage_SF,FountainHills_SF,GilaBend_SF,Gilbert_SF,Glendale_SF,Goodyear_SF,Guadalupe_SF,LitchfieldPark_SF,Mesa_SF,ParadiseValley_SF,Peoria_SF,Phoenix_SF,QueenCreek_SF,Scottsdale_SF,Surprise_SF,Tempe_SF,Tolleson_SF,Wickenburg_SF,Youngtown_SF,Avondale_CondoTH,Buckeye_CondoTH,Carefree_CondoTH,CaveCreek_CondoTH,Chandler_CondoTH,FountainHills_CondoTH,Gilbert_CondoTH,Glendale_CondoTH,Goodyear_CondoTH,LitchfieldPark_CondoTH,Mesa_CondoTH,ParadiseValley_CondoTH,Peoria_CondoTH,Phoenix_CondoTH,Scottsdale_CondoTH,Surprise_CondoTH,Tempe_CondoTH,Wickenburg_CondoTH,Youngtown_CondoTH,z_Unincorporated_CondoTH,Filler
Jan 2019,"150,000","246,500","239,000","563,104","175,000","650,000","290,000","144,793","203,000","252,900","187,000","388,900",,"329,950","230,850","315,414",,"139,150","240,500","58,000","215,000","245,000","1,787,947","304,977","242,500","375,000","450,000","40,000","255,198","269,500","208,000","275,000","169,500","238,000","246,500","239,000","687,208","820,500","302,500","203,000","470,000",,"340,000","248,309","318,000",,"431,000","275,000","1,925,000","317,000","257,000","375,000","590,000","261,750","304,300","208,000","270,600","169,750",,"280,000","324,000","335,000","200,000","214,800","232,990","125,000","250,000","199,950","158,300","1,594,127","184,500","179,150","261,250","110,650","182,250",,"74,000","150,000",1
Feb 2019,"174,000","247,750","242,500","653,750","197,500","525,000","304,950","105,000","203,500","230,500","179,950","380,000","95,000","325,000","226,600","295,000","80,000","50,000","348,705","21,000","211,615","259,086","1,886,750","312,500","244,726","396,750","420,000","37,500","255,000","282,500","205,000","370,000","150,000","242,500","249,200","242,245","880,000","542,500","327,750","204,000","505,000","95,000","336,000","248,376","296,051","80,000","360,000","290,000","1,815,000","320,000","258,800","396,750","605,250","260,000","304,888","205,000","312,500","170,000","106,000","378,700","278,950","311,000","216,000","257,500","239,945","90,000","263,899","167,500","185,000","2,776,338","196,000","180,000","271,000","103,000","184,000","247,500","84,800","162,500",1
Mar 2019,"165,000","240,000","239,293","718,000","201,450","520,000","307,000","149,900","208,850","260,000","163,450","369,900",,"338,935","234,000","308,159","55,000","48,750","401,285",,"216,000","255,000","1,800,000","299,900","246,500","356,918","438,500","141,000","256,500","285,000","171,250","365,000","174,450","245,000","240,000","238,116","725,000","525,000","322,500","209,000","475,000",,"345,000","246,250","310,000","55,000","470,000","290,500","1,800,000","320,000","261,000","356,918","620,000","265,000","314,200","171,250","312,500","179,900","155,000","285,000","400,000","429,000","220,000","260,000","232,745","129,450","210,000","160,000","179,500",,"160,000","190,000","270,500","145,000","200,000","112,000","90,100","169,950",1
Apr 2019,"182,500","237,200","244,245","650,000","201,043","597,490","315,000","156,990","207,950","224,500","184,500","420,000","120,000","332,000","235,000","295,500","61,500","70,000","425,000","41,250","210,950","263,000","1,900,000","309,750","249,000","377,935","450,000","33,500","257,000","290,725","214,900","370,922","187,450","245,000","239,900","244,245","800,000","640,000","337,400","207,950","505,000","120,000","347,006","245,500","299,000","64,000","457,500","293,000","1,900,000","316,000","265,000","375,000","622,500","265,000","319,000","214,900","250,557","187,450","150,000",,"315,000","360,000","220,000","226,900","240,000","133,300","274,900","253,950","170,000",,"171,000","180,000","300,000","161,450","193,500","97,625",,"168,000",1
May 2019,"205,000","240,000","243,400","624,000","202,000","693,500","340,000","159,000","205,000","234,900","212,356","337,500",,"345,000","240,000","309,900",,"80,000","375,000","63,750","216,195","275,700","1,612,500","319,900","255,100","385,458","475,000","117,500","265,000","280,000","193,200","381,561","176,250","248,070","240,000","242,990","700,000","760,000","361,485","206,000","485,000",,"354,990","255,000","313,000",,"437,500","305,000","1,550,000","334,000","275,000","385,789","615,000","271,000","318,500","193,200","254,000","176,250","155,000","377,500","390,000","391,000","230,000","215,000","254,790","130,000","228,250","198,000","171,000","2,041,566","180,000","185,000","275,000","136,450","202,500","131,250",,"162,700",1
Jun 2019,"185,000","235,850","245,000","790,000","199,000","438,378","320,000","160,000","210,000","257,770","195,000","375,000","135,500","342,500","249,950","294,261","70,500","82,500","405,350",,"222,250","283,000","1,700,000","319,999","256,000","381,293","460,000","101,800","265,000","297,500","214,000","360,000","170,000","250,760","235,850","245,000","860,000","550,778","352,000","212,000","423,750","135,500","350,000","264,700","297,000","70,500","460,000","308,500","1,725,000","334,821","275,000","381,293","606,000","266,400","335,000","214,000","260,000","175,000",,"325,000","367,000","326,750","213,700","247,850","227,500","129,500","195,967","187,000","176,750","1,481,141","171,000","184,150","296,750","152,500","184,500","78,500","121,450","165,750",1
Jul 2019,"193,875","241,250","245,000","633,250","205,000","660,000","327,500","159,000","215,000","283,045","212,700","423,650","560,000","355,000","246,500","292,250","255,000","123,500","420,000","175,000","219,675","285,000","1,440,000","324,995","255,000","385,800","443,000","138,000","263,250","286,300","236,900","302,525","177,500","250,000","242,500","244,995","679,000","727,500","340,000","215,250","496,000",,"361,000","260,000","299,900","255,000","460,000","309,995","1,450,000","335,000","275,000","390,000","609,000","266,500","316,000","236,900","225,000","177,500",,"285,000","435,000","377,500","214,500","280,000","254,440","131,500","218,795","238,500","175,000","840,000","200,000","183,500","298,825","154,000","201,450","240,000",,"163,750",1
Aug 2019,"215,808","250,000","251,267","507,000","207,000","625,000","325,303","143,740","219,000","278,324","229,000","410,000","70,500","350,506","246,000","300,222","114,500","99,000","407,925","37,000","220,000","283,750","2,410,000","315,000","258,233","398,335","462,750","100,000","274,000","288,000","248,372","358,500","180,000","254,000","250,000","250,990","550,000","627,750","345,000","219,000","472,508","125,000","360,000","260,000","300,904","114,500","458,126","309,900","2,410,000","325,000","277,000","400,495","586,700","277,100","325,900","248,372","325,000","180,000",,"310,000","347,500","337,500","226,200","234,950","244,995","130,000","294,513","200,750","178,500",,"183,950","185,000","295,000","96,000","190,653",,,"164,350",1
Sep 2019,"210,000","244,000","243,000","725,000","205,000","380,000","320,000","163,395","220,950","231,500","217,755","413,725","126,000","363,000","248,700","299,665","195,750","88,950","306,000",,"218,618","289,700","1,800,000","325,850","262,500","393,624","469,000","33,000","264,900","283,000","217,582","315,682","198,900","254,000","244,000","242,950","823,500","380,000","345,000","220,950","542,000","126,000","370,000","260,000","302,000","195,750","465,000","314,990","1,735,000","339,900","280,000","395,000","592,495","269,000","323,200","217,582","316,250","202,950",,"342,500","411,500","375,000","200,000","235,000","235,000","131,000","236,715","224,751","175,500","2,283,000","215,000","190,750","280,000","118,000","193,000","89,000","98,000","162,000",1
Oct 2019,"207,000","255,000","257,163","480,000","207,990","655,000","325,000","144,995","215,000","311,290","226,395","421,000","70,000","352,000","247,718","312,109","159,000","83,750","420,000","44,500","219,495","287,145","1,750,000","320,000","265,900","375,000","455,000","50,000","271,989","292,500","223,000","360,000","175,000","262,990","255,000","256,540","780,000","660,000","341,000","215,000","518,950","95,250","360,000","262,000","316,326","159,000","440,000","315,495","1,980,000","330,000","284,900","380,500","609,000","274,900","349,500","223,000","284,500","177,000",,"295,000","377,000","459,000","250,000","290,000","242,990","135,000","236,822","306,270","183,400","1,343,122","185,950","199,000","285,000","153,625","215,024",,"112,450","179,900",1
