Month,ApacheJunction,Avondale,Buckeye,Carefree,CasaGrande,CaveCreek,Chandler,Coolidge,ElMirage,Eloy,Florence,FountainHills,GilaBend,Gilbert,Glendale,Goodyear,Guadalupe,Kearny,LitchfieldPark,Mammoth,Maricopa,Mesa,Paradise Valley,Peoria,Phoenix,QueenCreek,Scottsdale,Superior,Surprise,Tempe,Tolleson,Wickenburg,Youngtown,z_Unincorporated,Avondale_SF,Buckeye_SF,Carefree_SF,CaveCreek_SF,Chandler_SF,ElMirage_SF,FountainHills_SF,GilaBend_SF,Gilbert_SF,Glendale_SF,Goodyear_SF,Guadalupe_SF,LitchfieldPark_SF,Mesa_SF,ParadiseValley_SF,Peoria_SF,Phoenix_SF,QueenCreek_SF,Scottsdale_SF,Surprise_SF,Tempe_SF,Tolleson_SF,Wickenburg_SF,Youngtown_SF,Avondale_CondoTH,Buckeye_CondoTH,Carefree_CondoTH,CaveCreek_CondoTH,Chandler_CondoTH,FountainHills_CondoTH,Gilbert_CondoTH,Glendale_CondoTH,Goodyear_CondoTH,LitchfieldPark_CondoTH,Mesa_CondoTH,ParadiseValley_CondoTH,Peoria_CondoTH,Phoenix_CondoTH,Scottsdale_CondoTH,Surprise_CondoTH,Tempe_CondoTH,Wickenburg_CondoTH,Youngtown_CondoTH,z_Unincorporated_CondoTH,MaricopaCounty,PinalCounty,Filler
1/1/2019,150000,246500,239000,563104,175000,650000,290000,144792.5,203000,252900,187000,388900,,329950,230850,315413.5,,139150,240500,58000,215000,245000,1787946.5,304977,242500,375000,450000,40000,255198,269500,208000,275000,169500,238000,246500,239000,687208,820500,302500,203000,470000,,340000,248309,318000,,431000,275000,1925000,317000,257000,375000,590000,261750,304300,208000,270600,169750,,280000,324000,335000,200000,214800,232990,125000,250000,199950,158300,1594127,184500,179150,261250,110650,182250,,74000,150000,267500,214400,1
2/1/2019,174000,247750,242500,653750,197500,525000,304950,105000,203500,230500,179950,380000,95000,325000,226600,295000,80000,50000,348705,21000,211615,259085.5,1886750,312500,244726,396750,420000,37500,255000,282500,205000,370000,150000,242500,249200,242245,880000,542500,327750,204000,505000,95000,336000,248375.5,296050.5,80000,360000,290000,1815000,320000,258800,396750,605250,260000,304887.5,205000,312500,170000,106000,378700,278950,311000,216000,257500,239945,90000,263898.5,167500,185000,2776338,196000,180000,271000,103000,184000,247500,84800,162500,270000,212867.5,1
3/1/2019,165000,240000,239293,718000,201450,520000,307000,149900,208850,260000,163450,369900,,338934.5,234000,308159,55000,48750,401285,,216000,255000,1800000,299900,246500,356918,438500,141000,256500,285000,171250,365000,174450,245000,240000,238115.5,725000,525000,322500,209000,475000,,345000,246250,310000,55000,470000,290500,1800000,320000,261000,356918,620000,265000,314200,171250,312500,179900,155000,285000,400000,429000,220000,260000,232745,129450,210000,160000,179500,,160000,190000,270500,145000,200000,112000,90100,169950,274600,219900,1
4/1/2019,182500,237200,244245,650000,201042.5,597489.5,315000,156990,207950,224500,184500,420000,120000,332000,235000,295500,61500,70000,425000,41250,210950,263000,1900000,309750,249000,377935,450000,33500,257000,290725,214900,370922,187450,245000,239900,244245,800000,640000,337400,207950,505000,120000,347006,245500,299000,64000,457500,293000,1900000,316000,265000,375000,622500,265000,319000,214900,250557,187450,150000,,315000,360000,220000,226900,240000,133300,274900,253950,170000,,171000,180000,300000,161450,193500,97625,,168000,275000,218688,1
5/1/2019,205000,240000,243400,624000,202000,693500,340000,159000,205000,234900,212355.5,337500,,345000,240000,309900,,80000,375000,63750,216195,275700,1612500,319900,255099.5,385458,475000,117500,265000,280000,193200,381561,176250,248070,240000,242990,700000,760000,361485,206000,485000,,354990,255000,313000,,437500,305000,1550000,334000,275000,385789,615000,271000,318500,193200,254000,176250,155000,377500,390000,391000,230000,215000,254790,130000,228250,198000,171000,2041566,180000,185000,275000,136450,202500,131250,,162700,285000,224700,1
6/1/2019,185000,235850,245000,790000,199000,438377.5,320000,160000,210000,257770,195000,375000,135500,342500,249950,294260.5,70500,82500,405350,,222250,283000,1700000,319999,256000,381293,460000,101800,265000,297500,214000,360000,170000,250760,235850,245000,860000,550777.5,352000,212000,423750,135500,350000,264700,297000,70500,460000,308500,1725000,334821,275000,381293,606000,266400,335000,214000,260000,175000,,325000,367000,326750,213700,247850,227500,129500,195966.5,187000,176750,1481141,171000,184150,296750,152500,184500,78500,121450,165750,285000,228000,1
7/1/2019,193875,241250,245000,633250,205000,660000,327500,159000,215000,283044.5,212700,423650,560000,355000,246500,292250,255000,123500,420000,175000,219675,285000,1440000,324995,255000,385800,443000,138000,263250,286300,236900,302525,177500,250000,242500,244995,679000,727500,340000,215250,496000,,361000,260000,299900,255000,460000,309995,1450000,335000,275000,390000,609000,266500,316000,236900,225000,177500,,285000,435000,377500,214500,280000,254440,131500,218795,238500,175000,840000,200000,183500,298825,154000,201450,240000,,163750,285000,227500,1
8/1/2019,215808,250000,251267,507000,207000,625000,325302.5,143740,219000,278324,229000,410000,70500,350506,246000,300222,114500,99000,407925,37000,220000,283750,2410000,315000,258232.5,398335,462750,100000,274000,288000,248371.5,358500,180000,254000,250000,250990,550000,627750,345000,219000,472508,125000,360000,260000,300904,114500,458125.5,309900,2410000,325000,277000,400495,586700,277100,325900,248371.5,325000,180000,,310000,347500,337500,226200,234950,244995,129999.5,294512.5,200750,178500,,183950,185000,295000,96000,190653,,,164350,287000,231075,1
9/1/2019,210000,244000,243000,725000,205000,380000,320000,163395,220950,231500,217754.5,413725,126000,363000,248700,299665,195750,88950,306000,,218617.5,289700,1800000,325850,262500,393623.5,469000,33000,264900,283000,217581.5,315682,198900,254000,244000,242950,823500,380000,345000,220950,542000,126000,370000,260000,302000,195750,465000,314990,1735000,339900,280000,395000,592495,269000,323200,217581.5,316250,202950,,342500,411500,375000,200000,235000,235000,131000,236714.5,224750.5,175500,2283000,215000,190750,280000,118000,193000,89000,98000,162000,288000,230050,1
10/1/2019,207000,255000,257163,480000,207990,655000,325000,144995,215000,311289.5,226394.5,421000,70000,352000,247718,312109,159000,83750,420000,44500,219495,287145,1750000,320000,265900,375000,455000,50000,271989,292500,223000,360000,175000,262990,255000,256539.5,780000,660000,341000,215000,518950,95250,360000,262000,316326,159000,440000,315495,1980000,330000,284900,380500,609000,274900,349500,223000,284500,177000,,295000,377000,459000,250000,290000,242990,135000,236822,306269.5,183400,1343122,185950,199000,285000,153625,215023.5,,112450,179900,292000,231000,1
