Geography,own_gt30pct,own_gt50pct,rent_gt30pct,rent_gt50pct,hh_total,num_gt30pct,num_gt50pct,pct_gt30pct,pct_gt50pct,filler
Phoenix MSA,0.216828072,0.091825976,0.448404233,0.214619285,1693396,510684,231593,0.301573879,0.136762458,1
Maricopa County,0.217334237,0.092294352,0.450567822,0.215652927,1552096,474186,215637,0.305513319,0.138932772,1
Pinal County,0.212320806,0.087655209,0.409812147,0.196182139,141300,36498,15956,0.258301486,0.112922859,1
Apache Junction,0.228001166,0.098120629,0.450747808,0.227178958,17606,4878,2228,0.277064637,0.126547768,1
Avondale,0.218294638,0.09433173,0.456414193,0.201125896,26067,8469,3711,0.324893544,0.142363908,1
Buckeye,0.231944249,0.073208503,0.32405226,0.127436282,18875,4797,1635,0.254145695,0.086622517,1
Carefree,0.180715585,0.178896301,0.489614243,0,1986,463,295,0.233131923,0.148539778,1
Cave Creek,0.29679803,0.176929392,0.238410596,0.07615894,2738,763,454,0.278670562,0.165814463,1
Chandler,0.176544106,0.07098583,0.411816165,0.18752148,91216,23484,10205,0.257454832,0.111877302,1
El Mirage,0.201756998,0.06774866,0.4714809,0.2281528,10538,3157,1327,0.299582463,0.125925223,1
Florence,0.167515733,0.035061432,0.449480642,0.306893296,4396,1035,442,0.23544131,0.100545951,1
Fountain Hills,0.219878555,0.087994034,0.346108258,0.143421573,11918,2940,1189,0.246685686,0.099765061,1
Gila Bend,0.114551084,0.068111455,0.427152318,0.149006623,625,166,67,0.2656,0.1072,1
Gilbert,0.179650238,0.067820891,0.41955573,0.176335017,77632,18751,7478,0.241536995,0.096326257,1
Glendale,0.215887056,0.086428898,0.490856384,0.251225922,82810,28019,13240,0.338352856,0.159884072,1
Goodyear,0.218835443,0.087594937,0.400935227,0.179771389,25524,6637,2768,0.260029776,0.108446952,1
Guadalupe,0.278879813,0.137689615,0.44198895,0.255248619,1762,639,349,0.362656073,0.198070375,1
Litchfield Park,0.267028628,0.114017769,0.469635628,0.336032389,2520,773,397,0.306746032,0.157539683,1
Maricopa,0.208875094,0.055951682,0.464448793,0.204174821,14987,3914,1293,0.261159672,0.086274771,1
Mesa,0.209306737,0.086328076,0.491226078,0.239096485,181130,57715,26397,0.318638547,0.145735107,1
Paradise Valley,0.243877961,0.15355279,0.397297297,0.137837838,5352,1012,816,0.189088191,0.152466368,1
Peoria,0.205072038,0.082652093,0.503479222,0.245821682,59659,16742,7440,0.280628237,0.124708761,1
Phoenix,0.230544706,0.095970468,0.454832817,0.216591488,565832,187613,85403,0.331570148,0.150933493,1
Queen Creek,0.231508079,0.138150808,0.390286717,0.126974839,12849,3215,1756,0.250214024,0.136664332,1
Scottsdale,0.242170125,0.121627986,0.369427405,0.180016939,115401,32084,16311,0.278021854,0.141341929,1
Surprise,0.204100981,0.081613305,0.45042735,0.173076923,48618,12805,5038,0.263379818,0.103624172,1
Tempe,0.189228383,0.079252664,0.450184417,0.237344398,73032,25120,12646,0.343958813,0.173156972,1
Tolleson,0.144736842,0.105263158,0.41005291,0.122574956,2046,597,235,0.291788856,0.11485826,1
Wickenburg,0.229189996,0.128779395,0.446073298,0.255497382,3634,1040,589,0.286186021,0.162080352,1
Youngtown,0.254852321,0.134177215,0.601071975,0.287136294,2491,1087,534,0.436370935,0.214371738,1
