Geography,own_gt30pct,own_gt50pct,rent_gt30pct,rent_gt50pct,hh_total,num_gt30pct,num_gt50pct,pct_gt30pct,pct_gt50pct,filler
Phoenix MSA,240394,98949,277609,131304,1745219,518003,230253,0.296812606,0.131933585,1
Maricopa County,217085,89681,264164,125212,1596784,481249,214893,0.301386412,0.134578628,1
Pinal County,23309,9268,13445,6092,148435,36754,15360,0.247610065,0.103479638,1
Apache Junction,2884,1129,1932,953,18277,4816,2082,0.263500574,0.113913662,1
Avondale,3219,1393,4724,2293,26427,7943,3686,0.300563817,0.139478564,1
Buckeye,3791,1314,1332,511,20443,5123,1825,0.250599227,0.089272612,1
Carefree,258,245,129,0,1918,387,245,0.20177268,0.127737226,1
Cave Creek,1451,1190,63,36,2990,1514,1226,0.506354515,0.410033445,1
Chandler,10618,4427,13214,5571,93887,23832,9998,0.253837059,0.106489716,1
El Mirage,1511,566,1725,848,10873,3236,1414,0.297617953,0.130046905,1
Florence,593,131,320,177,4601,913,308,0.198435123,0.066941969,1
Fountain Hills,2071,946,845,409,11408,2916,1355,0.255610098,0.118776297,1
Gila Bend,40,22,110,45,654,150,67,0.229357798,0.102446483,1
Gilbert,10730,4094,9098,3791,79714,19828,7885,0.248739243,0.098916125,1
Glendale,9643,3591,18043,9392,83083,27686,12983,0.333233032,0.156265421,1
Goodyear,4802,1917,2219,890,27016,7021,2807,0.259883032,0.103901392,1
Guadalupe,235,89,419,254,1934,654,343,0.338159255,0.177352637,1
Litchfield Park,505,155,191,142,2602,696,297,0.267486549,0.114142967,1
Maricopa,2483,630,1447,546,15309,3930,1176,0.256711738,0.076817558,1
Mesa,24025,9505,34052,16199,186503,58077,25704,0.311399817,0.137820839,1
Paradise Valley,1404,922,97,37,5798,1501,959,0.258882373,0.165401863,1
Peoria,9258,3658,8413,3815,62180,17671,7473,0.284191058,0.120183339,1
Phoenix,71941,28160,116207,54579,580835,188148,82739,0.323926761,0.142448372,1
Queen Creek,3247,1431,722,296,15988,3969,1727,0.248248687,0.108018514,1
Scottsdale,18876,9308,14699,7520,117974,33575,16828,0.284596606,0.142641599,1
Surprise,8135,2913,5316,2059,50199,13451,4972,0.267953545,0.099045798,1
Tempe,5599,2058,20831,10620,76218,26430,12678,0.34676848,0.16633866,1
Tolleson,114,67,568,350,2249,682,417,0.303245887,0.18541574,1
Wickenburg,533,324,209,159,3450,742,483,0.215072464,0.14,1
Youngtown,425,225,717,329,2498,1142,554,0.457165733,0.221777422,1
