place,hh_total,num_gt30pct,pct_gt30pct,num_gt50pct,pct_gt50pct,owner_total,owner_gt30pct,pctowner_gt30pct,owner_gt50pct,pctowner_gt50pct,renter_total,renter_gt30pct,pctrenter_gt30pct,renter_gt50pct,pctrenter_gt50pct,filler
Phoenix MSA,1777705,526451,0.296140811,232171,0.130601534,1155238,243227,0.210542763,98063,0.084885539,622467,283224,0.455002434,134108,0.215445959,1
Maricopa County,1632151,490881,0.300757099,218338,0.133773162,1041572,219839,0.211064622,89377,0.085809718,590579,271042,0.458942834,128961,0.218363674,1
Pinal County,145554,35570,0.244376657,13833,0.095036894,113666,23388,0.205760738,8686,0.07641687,31888,12182,0.382024586,5147,0.16140868,1
Apache Junction,17334,4696,0.270912657,1885,0.108745817,13468,2751,0.204261954,1079,0.08011583,3866,1945,0.503103983,806,0.208484221,1
Avondale,27995,8840,0.315770673,4289,0.15320593,16962,3801,0.22408914,1583,0.093326259,11033,5039,0.456720747,2706,0.245264207,1
Buckeye,25659,6187,0.241123972,1944,0.07576289,21572,4708,0.218245874,1435,0.066521417,4087,1479,0.361879129,509,0.124541228,1
Carefree,1839,524,0.284937466,317,0.172376291,1645,363,0.220668693,270,0.164133739,194,161,0.829896907,47,0.242268041,1
Cave Creek,2294,719,0.31342633,398,0.173496077,2100,641,0.305238095,352,0.167619048,194,78,0.402061856,46,0.237113402,1
Chandler,102568,26513,0.258491927,11285,0.110024569,66705,11765,0.176373585,4870,0.07300802,35863,14748,0.411231631,6415,0.178875164,1
El Mirage,11300,3257,0.288230088,1637,0.144867257,7541,1655,0.219466914,799,0.105954117,3759,1602,0.426177175,838,0.222931631,1
Florence,5053,871,0.172372848,271,0.053631506,4150,600,0.144578313,117,0.028192771,903,271,0.300110742,154,0.170542636,1
Fountain Hills,10971,2766,0.252119223,1264,0.115212834,9003,2091,0.232255915,948,0.105298234,1968,675,0.342987805,316,0.160569106,1
Gila Bend,673,159,0.236255572,81,0.120356612,389,52,0.133676093,31,0.079691517,284,107,0.376760563,50,0.176056338,1
Gilbert,88427,21397,0.241973605,8439,0.095434652,65587,11937,0.182002531,4396,0.067025478,22840,9460,0.414185639,4043,0.177014011,1
Glendale,83956,28012,0.33365096,13215,0.157403878,46907,9712,0.207047989,3576,0.076235956,37049,18300,0.493940457,9639,0.260168965,1
Goodyear,31356,8300,0.26470213,3464,0.110473275,24696,5048,0.204405572,1985,0.080377389,6660,3252,0.488288288,1479,0.222072072,1
Guadalupe,1614,645,0.399628253,426,0.26394052,813,266,0.327183272,154,0.189421894,801,379,0.473158552,272,0.339575531,1
Litchfield Park,2661,794,0.298384066,382,0.143555054,2213,558,0.252146408,190,0.085856304,448,236,0.526785714,192,0.428571429,1
Maricopa,18282,4516,0.247018926,1251,0.068427962,15181,3155,0.207825571,792,0.052170476,3101,1361,0.43889068,459,0.148016769,1
Mesa,190363,59895,0.314635722,26449,0.138939815,119067,24766,0.208000538,9770,0.082054642,71296,35129,0.492720489,16679,0.233940193,1
Paradise Valley,5064,1359,0.268364929,842,0.166271722,4755,1255,0.263932702,790,0.166140904,309,104,0.336569579,52,0.16828479,1
Peoria,70471,20098,0.285195329,8364,0.11868712,52869,10623,0.200930602,4002,0.075696533,17602,9475,0.538291103,4362,0.247812749,1
Phoenix,579876,187946,0.324114121,82979,0.143097835,325058,71095,0.218714814,28223,0.086824505,254818,116851,0.458566506,54756,0.214882779,1
Queen Creek,17943,4065,0.226550744,1535,0.085548682,15749,3225,0.204774906,1126,0.071496603,2194,840,0.382862352,409,0.186417502,1
Scottsdale,113451,31601,0.27854316,15907,0.140210311,75531,17295,0.22897883,8555,0.113264752,37920,14306,0.377267932,7352,0.193881857,1
Surprise,52205,14054,0.26920793,5025,0.096255148,39887,7928,0.198761501,2756,0.069095194,12318,6126,0.497320994,2269,0.184201981,1
Tempe,73785,26596,0.360452667,12737,0.172623162,29205,5524,0.189145694,2174,0.074439308,44580,21072,0.472678331,10563,0.236944818,1
Tolleson,2521,984,0.390321301,545,0.216184054,1271,234,0.184107002,61,0.047993706,1250,750,0.6,484,0.3872,1
Wickenburg,3535,824,0.233097595,485,0.137199434,2764,537,0.194283647,288,0.104196816,771,287,0.372243839,197,0.255512322,1
Youngtown,2588,1141,0.440880989,458,0.176970634,1249,387,0.309847878,162,0.129703763,1339,754,0.563106796,296,0.221060493,1
