Geography,hh_total,num_gt30pct,pct_gt30pct,num_gt50pct,pct_gt50pct,owner_total,owner_gt30pct,pctowner_gt30pct,owner_gt50pct,pctowner_gt50pct,renter_total,renter_gt30pct,pctrenter_gt30pct,renter_gt50pct,pctrenter_gt50pct,filler
Phoenix MSA,1817050,538957,0,239389,0,1191711,247094,0,101348,0,625339,291863,0,138041,0,1
Maricopa County,1665560,501325,0,225058,0,1071054,221897,0,91964,0,594506,279428,0,133094,0,1
Pinal County,151490,37632,0,14331,0,120657,25197,0,9384,0,30833,12435,0,4947,0,1
Apache Junction,17914,4906,0,1901,0,13945,2796,0,1080,0,3969,2110,1,821,0,1
Avondale,28831,9594,0,4463,0,17195,3955,0,1601,0,11636,5639,0,2862,0,1
Buckeye,28105,6626,0,2222,0,23964,5315,0,1754,0,4141,1311,0,468,0,1
Carefree,1918,527,0,316,0,1692,379,0,268,0,226,148,1,48,0,1
Cave Creek,2275,775,0,469,0,2088,687,0,426,0,187,88,0,43,0,1
Chandler,104419,27248,0,12302,0,67461,11550,0,5142,0,36958,15698,0,7160,0,1
El Mirage,11130,3368,0,1711,0,7635,1895,0,866,0,3495,1473,0,845,0,1
Florence,5670,1082,0,305,0,4688,791,0,150,0,982,291,0,155,0,1
Fountain Hills,11092,2692,0,1152,0,9416,2058,0,869,0,1676,634,0,283,0,1
Gila Bend,716,203,0,86,0,449,104,0,46,0,267,99,0,40,0,1
Gilbert,90299,21051,0,8274,0,67440,11530,0,4284,0,22859,9521,0,3990,0,1
Glendale,85379,29260,0,14164,0,48876,10374,0,4009,0,36503,18886,1,10155,0,1
Goodyear,33222,9115,0,3562,0,25831,5240,0,2130,0,7391,3875,1,1432,0,1
Guadalupe,1614,576,0,405,0,874,262,0,151,0,740,314,0,254,0,1
Litchfield Park,2780,841,0,406,0,2326,603,0,216,0,454,238,1,190,0,1
Maricopa,18869,4836,0,1513,0,15636,3194,0,896,0,3233,1642,1,617,0,1
Mesa,193316,59890,0,25694,0,122099,24498,0,9564,0,71217,35392,0,16130,0,1
Paradise Valley,5046,1296,0,861,0,4801,1213,0,784,0,245,83,0,77,0,1
Peoria,71733,20921,0,8914,0,53796,10790,0,4117,0,17937,10131,1,4797,0,1
Phoenix,591169,191650,0,85850,0,333631,71003,0,28608,0,257538,120647,0,57242,0,1
Queen Creek,18954,3758,0,1412,0,16801,2965,0,1012,0,2153,793,0,400,0,1
Scottsdale,115826,32738,0,16593,0,77574,17679,0,8995,0,38252,15059,0,7598,0,1
Surprise,52995,13700,0,4938,0,41568,7864,0,2907,0,11427,5836,1,2031,0,1
Tempe,75701,26938,0,12816,0,30777,5457,0,2219,0,44924,21481,0,10597,0,1
Tolleson,2569,1068,0,493,0,1392,327,0,36,0,1177,741,1,457,0,1
Wickenburg,3825,1008,0,607,0,3034,634,0,315,0,791,374,0,292,0,1
Youngtown,2499,1009,0,394,0,1341,420,0,182,0,1158,589,1,212,0,1
